Words,Reading,M1,M2,M3,S1,T1
相次ぐ,aitsugu,v. happen one after another,,,不可解な事件が相次いでいる。,Mysterious incidents are happening one after another.
免れる,manugareru,"v. escape, avoid",,,最悪の事態は免れた。,We avoided the worst situation.
略,ryaku,"n. omission, abbreviation",,,ユネスコが何の略か知っていますか。,Do you know what UNESCO stands for?
気楽,kiraku,"na-adj. comfortable, easy, easygoing",,,彼女は気楽に話ができる友達だ,She is a friend that I can talk with comfortably.
来週,raishuu,n. next week,,,来週から学校が始まる。,School starts next week.
三千円,sanzen en,n. three thousand yen,,,このシャツは三千円です。,This shirt costs three thousand yen.
示唆する,shisa suru,n. suggestion,v. suggest,,彼の発言は示唆に富んでいた。,His remarks were full of suggestions.
しみじみ,shimijimi,"adv. keenly, heartily, from one’s heart",,,彼女の親切さをしみじみと感じた。,I felt deeply how kind she was.
詩人,shijin,n. poet,,,彼は有名な詩人だ。,He is a famous poet.
署名する,shomei suru ,n. signature,v. sign,,千人の署名を集めた。,"We collected the signatures of 1,000 people."
給付する,kyuufu suru,n. provision,v. provide,,失業保険の給付を受けた。,I was provided with unemployment insurance.
柿,kaki,n. persimmon,,,柿を食べた。,I ate persimmons.
二日目,futsu-ka-me,n. second day,,,プログラムの二日目は大変よかった。,The second day of the program was very good.
診察する,shinsatsu suru,"n. medical examination, consultation",v. examine,,専門医の診察を受けたほうがいいだろう。,You’d better consult the specialist.
ハム,hamu,n. ham,,,ハムのサラダを作った。,I made a ham salad.
悪魔,akuma,"n. devil, demon",,,彼は悪魔のような人だ。,He is a fiendish person.
にらむ,niramu,v. stare,,, 知らない人がこちらをにらんでいる。,A stranger is staring at me.
 放出する,houshutsu suru,n. emission,v. emit,,大気中に二酸化炭素を放出する。,It emits carbon dioxide into the atmosphere.
 解除する,kaijo suru,n. cancellation,"v. cancel, lift",, 規制が解除された。,The regulation was lifted.
本能,honnou,n. instinct,,,彼は本能のままに生きている。,He lives by instinct.
地形,chikei,"n. topography, landform",,,この辺りの地形は複雑だ。,The topography of this area is complicated.
二十九,nijuu kyuu,num. twenty-nine,,,息子は二十九でまだ無職だ。,"My son is twenty-nine, but still has no job."
なじみ,najimi,n. familiarity,,,なじみの店で買い物をする。,I shop at familiar shops. 
例える,tatoeru,v. compare,,,人生はよく旅に例えられる。,Our life is often compared to a journey.
返済する,hensai suru,n. repayment,v. repay,,借金を返済した。, I repaid my debts.
民法,minpou,n. civil law,,,民法を学ぶ。,I study civil law.
切り取る,kiritoru,"v. cut off, tear off",,,新聞記事をはさみで切り取った。, I cut out the newspaper article with scissors.
研究開発,kenkyuu kaihatsu,n. research and development,,,ここで新技術の研究開発が行われている。,The research and development of new technology are carried out here.
痛める,itameru,v. hurt,,,腰を痛めてしまった。, I hurt my back.
手話,shuwa,n. sign language,,,手話を習いたい。,I want to learn sign language.
六年生,oku nen-sei,"n. sixth grade, sixth year",,,娘は六年生です。,My daughter is in Year Six.
家,uchi,"n house, home",,, 家においでよ。,Come to my house.
塔,tou,n. tower,,,向こうに塔が二つ建っている。,Two towers stand over there.
しつこい ,shitsukoi,i-adj. persistent; over-rich (food),,,セールスマンにしつこく勧誘された。,The salesman persuaded me persistently.
プラスチック,purasuchikku, n. plastic,,,プラスチックの玩具は簡単に壊れない。,Plastic toys do not not break easily.
追い詰める,oitsumeru,"v. run down, corner",,,犯人はついに追い詰められた。,The criminal was cornered at last.
遅く,osoku,n.late,,,夫は遅く帰ってくる。,My husband comes home late.
イスラエル,isuraeru,n. Israel,,,初めてイスラエルを訪問した。,I visited Israel for the first time.
信念,shinnen,"n. belief, faith",,,あの人は強い信念を持っている。,That person has strong faith.
数日,suu-jitsu,n. few days,,,完成まで数日かかるだろう。, It will take a few days to complete.
あきれる,akireru,"v. be amazed, be disgusted",,,彼の非常識な行為にあきれてしまった。,I was disgusted with his senseless behavior.
抗議,kougi,"n. protest, objection",v. object,,彼は強く抗議した。,He protested strongly.
花粉,kafun,n. pollen,,, 今年は花粉の量が多い。,The pollen count is high this year.
みそ,miso,n. miso; key point,,,野菜にみそをつけて食べた。,I ate the vegetables with miso. 
何時間,nanjikan,n. how many hours,,,何時間待てばいいのだろうか。,I wonder how many hours I will have to wait.
一回目,ik-kai-me,n. first time,,,一回目は失敗した。,The first time was a failure.
調味料,choumi-ryou,"n. seasoning, spice",,,足りない調味料を買ってくる。,I will go to buy the seasonings we lack.
無言,mugon,"n. silence, in silence, without speaking",,,彼女は無言のままうなずいた。,She nodded in silence.
住宅街,juutaku-gai,n. housing; residential area,,,住宅街にすむ。,He lives in a residential area.
心境,shinkyou,n. state of mind,,,彼の心境は変化した。,His mental state has changed.
居間,ima,n. living room,,,居間で家族と食事をする。,We have dinner in the living room.
大嫌い,daikirai,na-adj. hate,,,私はゴキブリが大嫌いだ。,I hate cockroaches.
作曲,sakkyoku,n. musical composition,v. compose,,この曲はモーツァルトが作曲した。,This song was composed by Mozart.
日中,nitchuu,n. during the day,,,日中は外に出ない。,I won’t go out during the day.
適度,tekido,na-adj. moderate,,,あの食べ物は適度な温度で保つことが大切だ。,It’s important to keep that food at a moderate temperature.
五歳 ,go-sai ,n. five years old,,,うちの孫は五歳です。,My grandson is five years old.
うどん,udon,"n. udon, thick white noodles",,,うどんが好きだ。,I love udon.
汽車,kisha,n. train,,,汽車で旅行に行く。,We will go on a trip by train.
業種,gyoushu,"n. category of business, type of industry",,,業種ごとに名刺を並べる。,Arrange the business cards according to the type of business.
ただただ,tadatada,"adv. all (one) can do is, simply, nothing but",,,ただただ泣いてばかりいた。,All she could do was cry.
倍,bai,n. times,,,二の二倍は四だ。,Two times two is four.
祝う,iwau,v. celebrate,,,私たちは先日銀婚式を祝った。,We celebrated our silver wedding the other day.
乏しい,toboshii,"i-adj. few, little",,,この国は資源が乏しい。,This country has few natural resources.
国鉄,kokutetsu,n. national railway,,,あれは国鉄の駅です。,That is a national railway station.
受賞,jushou,n. winning a prize,"v. win (receive) a prize, be awarded a prize",,受賞者がスピーチをした。,A prize winner made a speech.
立ち上げる,tachiageru,"v. boot up, start",,,新しい事業を立ち上げる。,We will start up a new business.
留める,todomeru,"v. hold, keep",,,被害を最小限に留めることが大切だ。,It is important to keep the damage to a minimum.
支度,shitaku,n. preparations,v. prepare,,支度は終わりましたか。,Did you finish the preparations?
髭,hige,n. mustache; beard,,,髭を伸ばす。,He is growing a beard.
異様,iyou,na-adj. strange,,,異様な光景だった。,It was a strange sight.
一周,is-shuu,n. one round,,,このコースは一周5キロです。,This course is five kilometers from start to finish.
はたち,hatachi,n. twenty years old,,,私の娘は今年はたちになった。,My daughter turned twenty this year.
中途半端 ,chuuto hanpa,"na-adj. unfinished, half-done",,,中途半端にするな。,Don’t leave things unfinished.
味わい,ajiwai,"n. profound, thought-provoking",,,味わい深い言葉だ。,The remark is very profound.
熱する,nessuru,v. heat,,,フライパンを十分熱してから肉を焼いてください。,Please fry the meat after heating the frying pan well.
大概,taigai,n. generally,,,大概郵便は十時頃くる。,Generally the mail is delivered about ten o’ clock.
分量,bunryou,"n. quantity, amount",,,材料の分量を量る。,I measure the quantity of materials. 
薄れる,usureru,v. become dim,,,あのころの記憶は薄れてしまった。,I have only faded memories of those days.
六十年,rokujuu nen,n. sixty years,,,この町に住んで六十年だ。,I have lived in this town for sixty years. 
だし,dashi,n. soup stock,,,このカニの出しはおいしい。,The crab soup stock is delicious.
職務,shokumu,n. duty,,, 職務について質問する。,He asks about the person’s duties.
各々,onoono,n. each,,,各々でお昼ご飯は持ってきてください。,Please each bring lunch.
人柄,hitogara,n. personality,,,彼は人柄がいい。,He has a nice personality.
明く,aku,v.open,,,眠くてなかなか目が明かない。,I’m so sleepy that I can’t keep my eyes open.
感触,kanshoku,"n. feel, touch",,,このかばんは感触がやわらかい。,This bag is soft to the touch.
ボーリング,booringu,n. bowling,,,日曜日にボーリングに行こう。,Let’s go bowling on Sunday.
刑事,keiji,n. police detective,,,刑事が事件について聞き込みをする。,A police detective is carrying out interviews about the incident.
つ,tsu,p. [indicating contrasts or coordinations],,,走者達は抜きつ抜かれつ先頭を争っている。,The runners are taking the lead and being overtaken alternately.
網,ami,n. net,,,たくさんの魚が網にかかった。,A lot of fish were caught in the net.
既存,kizon,n. existing,,,既存の枠組みを見直すべきだ。,The existing framework should be reexamined.
埃,hokori,n. dust,,,埃だらけになった。,I was covered with dust from head to toe.
資する,shisuru,v. contribute,,,その発明はあのビジネスに大きく資することになるだろう。,The invention will contribute greatly to the development of that business.
何せ,nanise,"adv. anyhow, after all, in any case",,,何せ朝から晩まで働いて疲れきっているんだ。,"Anyhow, I’m tired out from working from morning till night."
顔色,kaoiro,n. kaoiro,,,彼は顔色が悪い。,He has a sickly complexion.
同一,douitsu,"na-adj. same, identical",,,それは私が失くした時計と同一の物だ。,That is the same watch as the one I lost.
塩分,enbun,n. salt,,,塩分をとりすぎると体に悪い。,Eating food that contains a lot of salt is bad for one’s health.
明記,meiki,n. writing clearly,v. write clearly,,名前と住所を明記してください。,Please write clearly your name and address.
