Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
干,KAN,"hi, ho","dry, parch, ebb, recede, interfere, intercede",干す,ほす,"to air, dry, desiccate, drain",干渉,かんしょう,"interference, intervention, meddling",梅干し,うめぼし,"umeboshi, pickled dried ume"
軍,GUN,.,"army, troops",軍隊,ぐんたい,"army, armed forces, troops",軍事,ぐんじ,military affairs,軍備,ぐんび,armaments
丸,GAN,maru,"round, roll up, curl",丸い,まるい,"round, circular, spherical​",丸める,まるめる,"to make round, roll up, curl up",丸薬,がんやく,pill
机,KI,tsukue,"desk, table",机,つくえ,desk,机上,きじょう,on the desk,長机,ながづくえ,long desk
方,HOU,kata,"way, direction, person",方向,ほうこう,"direction, course",仕方,しかた,"way, method, means",方々,かたがた,"people, persons"
特,TOKU,.,special,特別,とくべつ,"special, particular",特急,とっきゅう,limited express,独特,どくとく,"peculiarity, uniqueness, characteristic"
走,SOU,hashi,run,走る,はしる,to run,馳走,ちそう,"treating someone, dinner",滑走路,かっそうろ,runway
漢,KAN,.,china,漢字,かんじ,kanji,痴漢,ちかん,molester,漢方薬,かんぽうやく,chinese herbal medicine
台,"DAI, TAI",.,"pedestal, a stand",台所,だいどころ,kitchen,台風,たいふう,typhoon,寝台,しんだい,"bed, couch"
当,TOU,a,"hit, right",適当,てきとう,"suitable, proper, appropriate",当てる,あてる,"to hit, expose, apply",相当,そうとう,"corresponding to, appropriate"
戦,SEN,"ikusa, tataka","war, battle",戦争,せんそう,war,戦う,たたかう,"to make war, compete",戦術,せんじゅつ,tactics
性,"SEI, SHOU",.,"sex, gender",女性,じょせい,"woman, female",男性,だんせい,"man, male",性別,せいべつ,gender
対,"TAI, TSUI",.,opposite,対象,たいしょう,"target, object",対策,たいさく,countermeasure,応対,おうたい,"dealing with, attending to"
関 ,KAN,"seki, kaka","gateway, connection",関わる,かかわる,"to be affected, be influenced",関係,かんけい,relation,税関,ぜいかん,customs
隅,GUU,sumi,"corner, nook",隅,すみ,"corner, nook, recess",片隅,かたすみ,"corner, nook",隅々,すみずみ,"every corner, every nook and cranny"
域,IKI,.,"area, range, region, limits",地域,ちいき,"area, region",領域,りょういき,"area, domain, territory, field",域外,いきがい,outside the area
燃,NEN,mo,"burn, blaze, glow",燃える,もえる,"to burn, get fired up",燃やす,もやす,to burn,燃料,ねんりょう,fuel
羽,U,"ha, hane","feathers, counter for birds",羽,はね,"feather, plume, down, wing",羽毛,うもう,"feathers, plumage, down",羽目,はめ,"panel, wainscoting, awkward situation"
則,SOKU,.,"rule, law, follow, based on, model after",規則,きそく,"rule, regulation",法則,ほうそく,"law, rule",原則,げんそく,"principle, general rule"
感,KAN,.,feelings,感情,かんじょう,emotion,感覚,かんかく,"sense, sensation",感染,かんせん,"infection, contagion"
定,"TEI, JOU",sada,"determine, fix",定める,さだめる,"to decide, determine",安定,あんてい,"stability, steadiness",設定,せってい,establishment
政,SEI,matsurigoto,government,政治,せいじ,"politics, government",政府,せいふ,"government, administration",政策,せいさく,"political measures, policy"
取,SHU,to,take,取る,とる,"to take, pick up, get",取引,とりひき,transactions,取材,しゅざい,"news coverage, collecting data"
所,SHO,tokoro,place,所,ところ,place,所属,しょぞく,"belonging to, affiliation",所得,しょとく,"income, earnings​"
署,SHO,.,"signature, govt office, police station",署名,しょめい,signature,消防署,しょうぼうしょ,fire station,署員,しょいん,"staff member, station employee, official"
辛,SHIN,kara,"spicy, bitter, hot, acrid",香辛料,こうしんりょう,"spice, spices, condiment",辛い,からい,"spicy, hot",辛子,からし,mustard
焼,SHOU,ya,"bake, burning",焼く,やく,"to burn, roast, broil, grill, bake",日焼け,ひやけ,"sunburn, suntan",焼却,しょうきゃく,"incineration, destroy by fire"
封,"FUU, HOU",.,"seal, closing",封筒,ふうとう,envelope,封鎖,ふうさ,"blockade, lockdown, sealing off ",封じる,ふうじる,"to seal, prevent, forbid, block"
溶,YOU,to,"melt, dissolve",溶液,ようえき,liquid solution,溶ける,とける,"to melt, fuse, dissolve",溶かす,とかす,"to dissolve​, melt"
現,GEN,arawa,"present, appear",現状,げんじょう,present condition,現れる,あらわれる,"to appear, come in sight",現地,げんち,actual place
最,SAI,motto,"most, utmost",最近,さいきん,"recently, lately",最も,もっとも,"most, extremely",最善,さいぜん,"the very best, utmost"
化,"KA, KE",ba,"change, take form",化ける,ばける,"to transform, disguise",化粧,けしょう,"make-up, cosmetics",化学物質,かがくぶっしつ,chemical substances
民,MIN,tami,"people, subjects",市民,しみん,citizen,難民,なんみん,refugee,移民,いみん,"immigration, emigration"
相,"SOU, SHOU",ai,"inter, mutual, minister",相手,あいて,"companion, partner, other party",相互,そうご,mutual,相談,そうだん,"consultation, discussion"
