Concept,Meaning,Info,Remarks,S.Remarks,Structure,Sentences,T1,S2,T2,S3,T3,S4,T4,S5,T5
に,"indirect object, recipient marker",particle,indicates the in direct object or the recipient ,,N + ni,父は僕に時計をくれた。,My father gave me a watch.,私は友達に電話をかけた。,I made a telephone call to my friend.,私は日本にいる友達にワインを送った。,I sent a bottle of wine to my friend in Japan.,君にこのペンダントをあげるよ。,I give you this pendant.,今日は動物園に息子を連れて行く。,Today I take my son to the zoo.
に,time marker,particle,indicates a point in time,,N + ni,昨夜12時に寝ました。,I went to bed at midnight last night.,私達は７時に会うことになっている。,We are to meet at 7:00.,私はいつもは５時に帰宅する。,I usually go home at 5:00.,この店は９時に閉じられます。,This store closes at 9:00.,飛行機は午前１０時に成田から飛び立ちました。,The plane took off from Narita at 10 am.
の,possession,particle,express possession,,N + no + N,これは私のコンピュータです。,This is my computer.,私の仕事は医者です。,My job is a doctor.,彼の出身地は大阪です。,He’s hometown is Osaka.,彼女の趣味は水泳です。,Her hobby is swimming.,しかし私の研究プログラムは正常です。,But my research program is fine.
の,"affiliation, description",particle,affiliates or describes nouns,,N + no + N,あの人は日本語の先生です。,That person is a Japanese teacher.,日本のデパートはおもしろいと思う。,I think the department stores in Japan are interesting.,北海道の冬は寒いでしょうね。,"Hokkaido’s winter must be cold, isn't it?",秋田の海岸は綺麗ですね。,The coast of Akita is beautiful,この紫の花は何と言いますか。,What do you call this purple flower?
の,informal question,particle,use as a question with rising intonation,,Clause + no,明日青森に行かないの？,Aren't you going to Aomori tomorrow?,交通信号から侵入できるの？,Can you get in through a traffic light?,どんなときに利用できるの？,Under what circumstances can I use this service?,なぜ宿題がそんなに大事なの？,Why is homework so important?,プライバシーの侵害じゃないの？,Isn't that an invasion of privacy?
で,place marker,particle,indicates where the action takes place,,N + de,喫茶店でコーヒーを飲みました。,I drank coffee at the coffee shop.,デパートで働いています。,I am working at a department store.,いつも図書館で勉強する。,I study at the library always.,駅で友達に会いました。,I met my friend at the station.,公園でお弁当を食べます。,I eat obento at the park.
で,place marker,particle,indicates where an event occurs,,N + de + N + ga + aru,体育館でスポツー大会がります。,There is a sports competition at the gymnasium.,明日このホールで説明会があります。,There will be a briefing at this hall tomorrow.,今晩家でパーテイーがあります。,There’s a party at home tonight.,昨日この部屋で講演があった。,There was a lecture in this room yesterday.,研究室で晒されたと思いますか。,Do you think you were exposed in the lab?
で,method or means marker,particle,"indicates the method, means or instrument used",,N + de,バスで学校へ行きます。,I go to school by bus.,ぺんで書いてください。,Please write with a pen.,日本語で手紙を買います。,Write a letter in nihongo.,ナイフで肉を切ります。,Cut the meat with a knife.,日本人は箸でご飯を食べる。,Japanese people eat rice with chopsticks.
で,material marker,particle,indicates the ingredients or materials used,,N + de,肉と野菜で料理を作りました。,I made it with meat and vegetables.,紙で人形を作ります。,I’ll make a doll with papers.,このバターと卵で美味しいケーキを焼きます。,I’ll bake this cake with butter and egg.,豆腐は大豆で作ります。,We make tofu from soybeans.,これは、高品質のステンレス鋼で作られています。,It is made of high quality stainless steel.
で,amount marker,particle,indicates the amount for something or required cost,,N + de,この本を十ドルで買った。,I bought this book for ten dollars.,さまざまな種類のコーヒーが100円で飲める。,Various types of coffee are available for 100 yen.,コーヒーは250円でおかわり自由である。,Coffee is 250 yen and refills are free.,しかし、彼らはまた乗車100円で安いです。,But they are also cheap at 100 yen a ride.,入場料は500円で全席自由となります。,Admission is 500 yen and all seats are unreserved.
で,quantity marker,particle,indicates the quantity of something,,N + de,全部で千五百円でした。,"The total cost was 1,500 yen.",賞金300万円は半分ずつで分けられた。,The prize money of 3 million yen was divided in half.,小計や総計で使用できるデータ関数の一覧です。,List of data functions available for subtotals and grand totals.,全額で返金することを保証します。,We guarantee a full refund.,販売数は限定300個でシリアルナンバー入り。,The number of pieces sold will be limited to 300 and will be numbered.
で,duration marker,particle,indicates the duration or time limit,,N + de,この仕事は20分でできますか。,Can this job be done in 20 minutes?,このコンサートは10時で終わります。,This concert ends at 10:00,後５分で試験が終わります。,The examination will end in 5 minutes.,作文は３０分で書き終わりました。,The writing composition ended in 30 minutes.,もう二週間で夏休みになります。,It will be summer vacation in two weeks.
で,cause or reason marker,particle,indicates the cause or reason for something,,N + de,病気で学校を休みました。,I missed school because I was sick.,事故で電車が止まっています。,The train stops because of the accident.,毎日雨でテニスの練習ができません。,I cannot practice tennis because it rains everyday.,強い風でドアが開きました。,"Due to strong wind, the door open.",来週仕事こうべに意味ます。,"Due to work, I will be in Kobe next week."
が,introductory statement connector,conjunction,connects an introductory statement,,Clause + ga,その点ですがもっと詳しく説明して下さい。,"As for that point, please explain more in detail.",パーテイーをしますが来ませんか。,"We’ll be having a party, wouldn’t you like to come?",算数は苦手なのですが頑張りました。,I am not good at math but I did my best.,現行ディレクトリが存在しますが読み取り専用です。,The current directory exists but is read-only.,この観点は必要ですがこれでは不十分です。,This perspective is necessary but not sufficient.
が,but,conjunction,use for a contrastive statements,,Clause + ga + Clause,私はビールを飲むが、酒は飲まない。,I drink beer but don’t drink sake.,旅行したいが、お金がない。,I want to travel but I don’t have money.,私は小さいですが、体丈夫です。,I am not very big but I’m solid.,今日は晴れていますが、寒いです。,It is fine today but it is cold.,シャツを洗いましたが、綺麗になりませんでした。,I washed my shirts but they are still dirty.
の,indefinte pronoun,pronoun,as a dependent indefinte pronoun,,Verb・Adj + no + particle,私は大きいのを買いました,I bought a big one.,私は去年買ったのを使った。,I used the one I bought last year.,赤いのはいくらですか。,How much is the red one?,小さいのが欲しいです。,I want a small one.,高いのはなんですか。,What is that expensive one?
から,from,particle,marks a starting point,,N + kara,来週国から父が来ます。,"Next week, my father is come from my home country.",バスは駅の前から出ます。,The bus leaves from in front of the station.,今晩８時からテレビを見ます。,I will watch television from eight o’clock tonight.,銀行は朝９時からです。,The bank starts from nine o’clock in the morning. ,この花は私の友達からです。,This flower is from my friend
まで,until,particle,marks an end point,,N + made,この飛行機はロンドンまで行きます。,This plane is going to London.,駅まで自転車で行きます。,I will go by bicycle to the train station.,五時まで会社で働きます。,I work at the company until five.,9月まで日本にいます。,I will be in Japan until September.,飛行機が出るまでロビーで友達と話ていた。,I was talking to a friend in the lobby until the plane left.
だけ,"only, just, merely",particle,express a limit imposed upon something,,Vplain・I-Adj・Na-Adj+na・N + dake,お茶だけ飲みました。,I only drank green tea.,朝はコーヒーを一杯飲むだけです。,"In the morning, I just drink a cup of coffee.",魚だけ食べた。,I ate only fish.,魚を食べただけだ。,I just ate the fish only.,指導者に言われた通りにしただけです。,I only did just as the coach told me.
しか,only. nothing but,particle,expresses that there is no more than the marked element,,N + (particle) + shika + nai.verb ,この本はこの図書館しかありません。,This book is only available in this library.,そこは車でしか行けない。,You can only go there by car.,私は漢字を少ししか知りません。,I know only a few kanji.,私は4時間しか寝なかった。,I only slept four hours.,人は経験からしか学ばない。,One can only learn from experience.
まだ,"not yet, still",adverb,express non completion for the time being,,mada + Verb・Noun・Adjective,たくさん買い物をしましたが、まだお金があります。,"I did a lot of shopping, but I still have money to spend.",彼はまだ寝ている。,He's still sleeping.,私の同僚たちはまだ勤務中だ。,My colleagues are still on duty.,彼はまだ来ていない。,He has not yet arrived.,お酒はまだありますか。,Do you still have alcohol?
もう,"already, anymore",adverb,express completion as of that time,,mou + Verb・Noun・Adjective,もう5時を過ぎました。,It is already past five o'clock.,宿題をもう終えましたか。,Have you finished your homework yet?,夕ご飯をもう食べたか。,Have you had dinner yet?,私はもうお酒を飲みません。,I no longer drink alcohol.,もう雪が降りました。もう寒いです。,It has already snowed. It is already cold.
でも,"but, however",connective,connects contrastive sentences,,Sentence + demo + Sentence,デパートにいきました。でも、しまっていました。,I went to the department store. But it was closed.,パン屋に行きました。でも、何も買いませんでした。,I went to the bakery. But I didn't buy anything.,今朝学校に行きました。でも、休みでした。,I went to school this morning. But it was closed.,今日公園に行きたい。でも、雨が降っている。,I want to go to the park today. But it's raining.,野球は楽しい。でも、サッカーの方がいい。,Baseball is fun. But soccer is better.
しかし,"but, however",connective,connects contrastive sentences,,Sentence + shikashi + Sentence,しかし問題があるかもしれない。,But there could be a problem.,しかしまずは心を広げるのです。,"But first, you must expand your mind.",しかし同社は事業活動を進める。,"However, the company will proceed with its business activities.",日本は大好きです。しかし、日本の夏がとても暑いです。,"I love Japan. However, summer in Japan is very hot.",韓国料理はおいしいです。しかし、日本料理の方が好きです。,"Korean food is delicious. However, I prefer Japanese food."
くらい,"approximately, about, around",suffix-particle,"approximate quantity, extent or degree",,V・I-Adj・Na-Adj・N + kurai,私は昨日10時間くらい寝ました。,I slept about 10 hours yesterday.,どのぐらい練習したんですか？,How long did you practice?,彼女が私と同じくらい背が高いんだ。,She's as tall as I am.,この学校には学生が２５００人くらいいます。,"There are about 2,500 students in this school.",台風で風が強く立って歩けないぐらいだ。,The typhoon was so windy that I could hardly stand and walk.
ごろ,"around, about, when",suffix,approximate point of time,,V・I-Adj・Na-Adj・N + goro,夕食は何時ごろになさいますか。,What time would you like to have dinner?,去年の今ごろは大雪でしょたね。,About this time last year it snowed heavily.,僕は九時半ごろ迎えに来ればいいですね。,I should be picked up around 9:30.,今日は夜９時ごろ帰ります。,I will return home around 9:00 p.m. today.,今日六時ごろお茶を飲みに来ませんか。,Why don't you come for a cup of tea around 6:00 today?
ずつ,"apiece, each, at a time",suffix-particle,indicates equal distribution of quantity,,N + zutsu,毎月３冊ずつ本を買っています。,I buy three books each month.,私たちは一歩ずつ進みましょう。,Let us go one step at a time.,彼女は少しずつ回復している。,She is recovering little-by-little.,私は毎日単語を五つずつ覚えています。,I learn five words each day.,日本での生活は少しずつ慣れてきた。,I am gradually getting used to life in Japan.
ながら,while,conjunction,indicates two action at the same time,,Vnoun-stem + nagara,夫は新聞を読みながら朝ごはんを食べる。,My husband eats breakfast while reading the newspaper.,彼女は音楽を聴きながらいつも勉強する。,She always studies while listening to music.,芸術に関する知識を与えながら教育するプログラム。,A program that educates while imparting knowledge about the arts.,彼女は食べながら話を続けた。,She continued talking while eating.,私たちは英語を学びながら楽しい時間を過ごした。,We had a great time while learning English.
とき,"when, at the time of, during",conjuction,it refers to time of action or a point or a period in time,,Vru・Vta・N+no + toki,私は毎朝学校へ行くときにその店の前を通る。,I pass by that store when I go to school every morning.,日本へ行くときカメラを買いました。,I bought a camera when I went to Japan.,日本へ行ったとき成田でカメラを買います。,"When I visit Japan, I buy a camera at Narita.",私はそこへ行ったとき店は閉められていた。,When I went there the store was closed.,ピーク時間以外のときに自動バックアップを実行。,Perform automatic backups during off-peak hours.
