Question,Options,Answer
医者から病気についての<u>説明</u>を受ける。,1 せつめ 2 せっめ 3 せっめい 4 せつめい ,4 せつめい 
大学の合格<u>発表</u>が行われた。,1 はっぴょ  2 はぴょ 3 はっぴょう 4 はぴょう ,3 はっぴょう
柔道の<u>初級</u>の試験に合格した。,1 しょうきゅう  2 しょきゅう 3 しょうきゅ 4 しょきゅ ,2 しょきゅう
天気がいいので<u>布団</u>を干しましょう。,1 ぶとん 2 ふとん 3 ぶだん 4 ふだん ,2 ふとん
<u>通路</u>が狭せまくて通れません。,1 つうろ 2 つうろう 3 つろう 4 つろ ,1 つうろ
進学のことについて、先生に<u>相談</u>があります。,1 そうたん  2 しょうたん 3 そうだん 4 しょうだん ,3 そうだん
来年は大おお阪さかの支店で働くことを<u>希望</u>します。,1 きぼう 2 きぼ 3 きいぼ 4 きいぼう,1 きぼう
弟は来年の３月に大学を<u>卒業</u>する予定です。,1 そつぎょ 2 そっぎょ 3 そっぎょう 4 そつぎょう,4 そつぎょう
ずっと食べたかったカレーを食べられて<u>満足</u>した。,1 まんそく 2 まんぞく 3 まんそぐ 4 まんぞぐ ,2 まんぞく
わたしはプロの歌手として、１０年間<u>活動</u>しています。,1 かっどう 2 かっど 3 かつどう 4 かつど ,3 かつどう
生徒を<u>代表</u>してあいさつをする。,1 たいひょう 2 だいひょう 3 たいひょ 4 だいひょ ,2 だいひょう
先生はわたしの考えを否定した。,1 ひてい 2 ひて 3 ふてい 4 ふて ,1 ひてい
ガソリンをたくさん<u>消費</u>した。,1 そひ 2 そうひ 3 しょひ 4 しょうひ ,4 しょうひ 
<u>想定</u>していなかった問題が起きた。,1 そうてい 2 しょうてい 3 そうて 4 しょうて ,1 そうてい 
歯医者の<u>予約</u>をする。,1 ぞうやく 2 ぞやく 3 よやく 4 ようやく ,3 よやく
学校に携帯電話を持ってくることを<u>禁止</u>します。,1 きんじ 2 ぎんじ 3 ぎんし 4 きんし ,4 きんし 
今回の事件は、前回の事件と<u>関係</u>しているようだ。,1 かんけ 2 かんげ 3 かけい 4 かんけい ,4 かんけい 
今年は赤のチームが<u>優勝</u>しました。,1 ゆしょう 2 ゆうしょう 3 ゆうしょ 4 ゆしょ,2 ゆうしょう
昨日、足を<u>手術</u>しました。,1 しゅうしゅつ  2 しゅうじゅつ 3 しゅしゅつ 4 しゅじゅつ ,4 しゅじゅつ 
大事な日なのに、<u>失敗</u>してしまいました。,1 しっはい  2 しぱい 3 しっぱい 4 しはい ,3 しっぱい 
わたしは仕事でバスを<u>運転</u>しています。,1 うてん 2 うんてん 3 うんて 4 うってん ,2 うんてん
机を<u>引いて</u>ください。,1 ふいて 2 たたいて 3 ひいて 4 おいて ,3 ひいて
これは駐車場を<u>表す</u>マークです。,1 しめす 2 さす 3 かす 4 あらわす ,4 あらわす 
大きな段ボール箱を<u>届ける</u>。,1 とどける  2 ぶつける 3 あずける 4 わける ,1 とどける
妹の赤い洋服を<u>探す</u>。,1 なおす 2 のこす 3 ほす 4 さがす ,4 さがす 
彼女は昨日から<u>怒って</u>いる。,1 こまって 2 おこって 3 だまって 4 まよって ,2 おこって
緑の糸と白い糸を<u>編んで</u>います。,1 えらんで 2 むすんで 3 あんで 4 たのんで ,3 あんで
強い風で木が<u>折れた</u>。 ,1 たおれた 2 おれた 3 ゆれた 4 かれた , 2 おれた
弟が妹の布団を<u>干した</u>。,1 かくした 2 よごした 3 ほした 4 かえした ,3 ほした
中島さんが<u>酔って</u>しまいました。,1 よって 2 すべって 3 しゃべって 4 あまって ,1 よって 
友達に借りていた服を<u>渡す</u>。,1 かえす 2 ほす 3 わたす 4 よごす ,3 わたす
隣の席に<u>移り</u>ましょう。,1 すわり 2 うつり 3 くばり 4 もどり ,2 うつり
テストの内容を<u>変える</u>。,1 おぼえる 2 くわえる 3 つたえる 4 かえる ,4 かえる 
黒い子猫を<u>拾った</u>。,1 さわった  2 ひろった 3 まもった 4 かった ,2 ひろった
携帯電話を<u>直す</u>。,1 おとす 2 わたす 3 かす 4 なおす ,4 なおす 
松井さん、こっちを<u>向いて</u>ください。,1 むいて 2 やいて 3 みがいて 4 はいて ,1 むいて
水曜日は<u>面白い</u>テレビ番組があります。,1 おもい 2 おそろしい 3 おかしい 4 おもしろい ,4 おもしろい 
新幹線はとても<u>速い</u>。,1 たかい 2 やすい 3 あぶない 4 はやい ,4 はやい 
彼とは<u>親しい</u>友達です。,1 あやしい  2 したしい 3 むずかしい 4 なつかしい ,2 したしい
<u>寒い</u>季節になりました。,1 すずしい 2 さむい 3 あつい 4 あたたかい ,2 さむい
大会に出ることはとても<u>難しい</u>。,1 たのしい 2 きびしい 3 むずかしい 4 はずかしい ,3 むずかしい
わたしの兄はとても<u>優しい</u>。,1 やさしい 2 かわいらしい 3 いそがしい 4 おとなしい ,1 やさしい
自転車で転んで、足が<u>痛い</u>。,1 つらい 2 くさい 3 かゆい 4 いたい ,4 いたい 
昨日買った辞書はとても<u>厚い</u>。,1 うすい 2 あつい 3 ちいさい 4 たかい ,2 あつい 
今運んでいる荷物は<u>軽い</u>。,1 ふとい 2 おもい 3 かるい 4 ほそい ,3 かるい
明日から<u>新しい</u>生活が始まる。,1 まずしい 2 さびしい 3 あたらしい 4 くるしい ,3 あたらしい
寒いので、<u>温かい</u>飲み物を飲もう。,1 こまかい 2 あたたかい 3 たかい 4 やわらかい ,2 あたたかい
<u>欲しい</u>絵がなかったので、店を出た。,1 めずらしい 2 あやしい 3 すばらしい 4 ほしい ,4 ほしい 
<u>正しい</u>結果が出た。,1 ただしい 2 くわしい 3 くやしい 4 かなしい ,1 ただしい
この山は、あの山よりも<u>低い</u>です。,1 きたない 2 ひろい 3 せまい 4 ひくい ,4 ひくい 
妹が<u>可愛くて</u>仕方がない。,1 かわいくて 2 こいしくて 3 うらやましくて 4 うつくしくて ,1 かわいくて
彼女は勉強<u>熱心</u>な生徒です。,1 ねつじん 2 ねっじん 3 ねっしん 4 ねつしん ,3 ねっしん
<u>大事</u>なゆびわをなくしてしまった。,1 だいし 2 たいし 3 たいじ 4 だいじ ,4 だいじ 
家の近くにコンビニがなくて<u>不便</u>だ。,1 ふべん 2 ふへん 3 ふうべん 4 ふうへん ,1 ふべん
昨日の試合は<u>残念</u>な結果になった。,1 じゃんねん 2 ざんねん 3 さんねん 4 じゃねん ,2 ざんねん
母から<u>簡単</u>な料理を教えてもらいました。,1 かんたん 2 かたん 3 かんた 4 かた ,1 かんたん
彼女に<u>正直</u>な気持ちを伝える。,1 しょうちょく 2 しょちょく3 しょじき 4 しょうじき ,4 しょうじき 
旅行に<u>必要</u>なものを買いに行きましょう。,1 ひつじょう 2 ひつじょ 3 ひつよう 4 ひつよ ,3 ひつよう
先輩に<u>失礼</u>なことをしてしまった。,1 しつれい 2 しっれい 3 しつれ 4 しっれ ,1 しつれい
<u>苦手</u>な食べ物はにんじんです。,1 くるて 2 にがしゅ 3 くるしゅ 4 にがて ,4 にがて 
<u>自由</u>に文章を書いてみましょう。,1 じゆ 2 じゆう 3 しゆ 4 しゆう ,2 じゆう
<u>不要</u>なものは買わない。,1 ふよ 2 ふりょ 3 ふよう 4 ふりょう ,3 ふよう
<u>安全</u>な場所で遊びましょう。,1 あぜん 2 あんせい 3 あんせん 4 あんぜん ,4 あんぜん
一人でするには<u>大変</u>な仕事でした。,1 たいべん 2 たいへん 3 だいへん 4 だいべん ,2 たいへん
今日は休みだったので<u>十分</u>に寝ることができた。,1 じゅうふん 2 じゅふん 3 じゅうぶん 4 じゅぶん ,3 じゅうぶん
今回の会議は<u>主要</u>なメンバーで行う。,1 しゅよう  2 しゅよ 3 しゅうよう 4 しゅうよ ,1 しゅよう
海に小さい<u>ふね</u>が、ぽつんと浮う かんでいる。,1 舩 2 般 3 船 4 航,3 船
はずかしくて<u>かお</u>が赤くなってしまった。,1 頭 2 顔 3 額 4 願,2 顔
空気を入れかえるために、<u>まど</u>を開けた。,1 窓 2 空 3 穴 4 究,1 窓
村上さんの<u>よこ</u>には佐藤さんがすわっている。,1 核 2 格 3 椅 4 横,4 横
<u>たまご</u>は、焼いても生で食べてもおいしい。,1 叩 2 印 3 卵 4 即,3 卵
今回のイベントは、<u>やく</u>一万人が参加するそうだ。,1 結 2 終 3 給 4 約,4 約
兄は、海外の<u>きょく</u>をよくきいている。,1 替 2 曲 3 冒 4 更,2 曲
今週は、仕事の<u>りょう</u>が多くて早く帰ることができない。,1 重 2 量 3 里 4 野,2 量
着物の<u>おび</u>を一人で結ぶことは、とても難しい。,1 希 2 布 3 幕 4 帯,4 帯
長い時間走っていると<u>いき</u>が苦しくなる。,1 患 2 志 3 息 4 恵,3 息
平日の朝は、どの電車も<u>まんいん</u>で席に座ることができない。,1 万院 2 満員 3 万員 4 満院,2 満員
わたしの仕事は、世界の新しい出来事を<u>きじ</u>にすることだ。,1 記事 2 誌事 3 記地 4 誌地,1 記事
レジの<u>きかい</u>がこわれてしまった。,1 橋械 2 概械 3 機械 4 極械,3 機械
<u>かいだん</u>をのぼった先には、きれいな景色が広がっていた。,1 階段 2 開団 3 階団 4 開段,1 階段
天気<u>よほう</u>では晴は れだったのに、雨が降ふ ってきた。,1 預報 2 予法 3 預法 4 予報,4 予報
<u>ずつう</u>が続いているので、薬を飲みました。,1 頭症 2 頭疲 3 頭痛 4 頭病,3 頭痛 
<u>ぼうえき</u>によって、海外のものを手に入れることができる。,1 貿是 2 賃是 3 貿易 4 賃易,3 貿易
鈴木さんは、みんなに優しくて<u>せいかく</u>がいい。,1 生各 2 性各 3 生格 4 性格,4 性格
この鳥は、セキセイインコという<u>しゅるい</u>です。,1 税類 2 種類 3 積類 4 程類,2 種類 
<u>しょうせつ</u>を読んでいる時間が一番好きだ。,1 小設 2 少説 3 小説 4 少設,3 小説
毎月、水道の<u>しようりょう</u>が高くなってしまう。,1 使角料 2 仕用料 3 仕角料 4 使用料,4 使用料
木曜日は<u>ていきゅう</u>びです。,1 程休日 2 程体日 3 定休日 4 定体日,3 定休日
好きな人の<u>れんらくさき</u>を教えてもらった。,1 連級先 2 連絡先 3 練級先 4 練絡先,2 連絡先
<u>あかしんごう</u>のときに渡わたってはいけません。,1 赤倍考 2 赤倍号 3 赤信考 4 赤信号,4 赤信号
彼女は、トラックの<u>うんてんしゅ</u>をしている。,1 運転手 2 遅軒手 3 運軒手 4 遅転手,1 運転手
会社から社員にお金を<u>しきゅう</u>している。,1 支給 2 支維 3 支績 4 支絡,1 支給
えいようを<u>いしき</u>して、野菜をたくさん食べている。,1 意職  2 意織 3 意識 4 意幟,3 意識 
東京から大阪まで車で<u>いどう</u>する。,1 科動 2 移動 3 積動 4 税動,2 移動
来月に行うイベントの<u>じゅんび</u>をする。,1 順日 2 準日 3 順備 4 準備,4 準備
道を<u>おうだん</u>するときは、車に気をつけましょう。,1 横段 2 応段 3 応断 4 横断,4 横断
アナウンサーが映画の内容を<u>かいせつ</u>している。,1 開設 2 解説 3 開説 4 解設 ,2 解説
食べ物の種類を<u>ぶんるい</u>する。,1 分類 2 分頭 3 分顔 4 分願 ,1 分類
夜ご飯に使う材料を<u>ようい</u>する。,1 容易 2 容意 3 用易 4 用意 ,4 用意 
週末には、会社の制服を<u>せんたく</u>する。,1 治濯 2 注濯 3 流濯 4 洗濯 ,4 洗濯 
友達と会う場所を<u>してい</u>する。,1 指宗 2 使宗 3 指定 4 使定 ,3 指定
犬は、うれしいとき、くるくると<u>まわり</u>ます。,1 走り 2 回り 3 去り 4 座り,2 回り
日本では、二十歳からはお酒を飲むことが<u>ゆるされる</u>。,1 計される 2 設される 3 許される 4 記される ,3 許される
文章を全部<u>けして</u>、最初から書き直した。,1 汚して 2 滑して 3 清して 4 消して ,4 消して 
あの赤ちゃんは今にも<u>ころびそう</u>だ。,1 軽びそう 2 輸びそう 3 転びそう 4 軸びそう ,3 転びそう
わたしは、彼に好きだという気持ちを手紙で<u>つたえた</u>。,1 位えた 2 任えた 3 仕えた 4 伝えた,4 伝えた
大学の入学試験に<u>おちて</u>しまった。,1 落ちて 2 苦ちて 3 薬ちて 4 薄ちて ,1 落ちて 
入院している祖母が早く元気になることを<u>ねがって</u>いる。,1 頑って 2 願って 3 順って 4 預って ,2 願って
わが家は、正月を<u>むかえる</u>準備で大いそがしだ。,1 過える 2 迷える 3 通える 4 迎える ,4 迎える 
自分の悪いところを、きちんと<u>なおして</u>いきたい。,1 正して 2 直して 3 育して 4 教して ,2 直して
本に出てきた、わからない漢字の意味を<u>しらべる</u>。,1 調べる 2 証べる 3 訪べる 4 話べる ,1 調べる
今日は天気が<u>わるい</u>ので、家で過ごすことにしました。,1 残い 2 不い 3 悪い 4 悲い ,3 悪い
失敗ばかりしている自分を<u>なさけなく</u>思う。,1 情けなく 2 慎けなく 3 忙けなく 4 悩けなく,1 情けなく
今回のテストの問題はとても<u>やさしい</u>。,1 単しい 2 安しい 3 容しい 4 易しい ,4 易しい 
今日は、<u>あたたかくて</u>ちょうどいい気温だ。,1 熱かくて 2 暖かくて 3 暑かくて 4 燃かくて ,2 暖かくて
海は、<u>ふかくて</u>地に足がつかないのでこわい。,1 浅くて 2 低くて 3 深くて 4 高くて ,3 深くて
孫の笑顔は、とても<u>いとしい</u>。,1 素しい 2 愛しい 3 恋しい 4 好しい ,2 愛しい
わかしたばかりのお湯で入れたお茶は<u>あつい</u>。,1 焦い 2 照い 3 燃い 4 熱い,4 熱い
長い距離を走ると、いきが<u>くるしく</u>なる。,1 切しく 2 辛しく 3 苦しく 4 呼しく ,3 苦しく
信号を見て渡らないと<u>あぶない</u>ですよ。,1 害ない 2 険ない 3 危ない 4 疑ない ,3 危ない
彼からもらったゆびわを<u>なくして</u>しまった。,1 落くして 2 去くして 3 忘くして 4 無くして ,4 無くして 
そろそろ、新しい車が<u>ほしい</u>。,1 欲しい 2 欧しい 3 歓しい 4 欺しい ,1 欲しい
彼女は、いつも<u>かわいらしい</u>洋服を着ている。,1 果愛らしい 2 可愛らしい 3 果恋らしい 4 可恋らしい ,2 可愛らしい
実家の畑で採れるにんじんは、<u>ふとくて</u>あまい。,1 夫くて 2 太くて 3 大くて 4 天くて ,2 太くて
冬になると、夕方の5時には太陽が落ちて<u>くらく</u>なる。,1 映く 2 晩く 3 暗く 4 昭く ,3 暗く
日本は8月の初めが一番気温が高くて<u>あつい</u>。,1 暮い 2 昇い 3 景い 4 暑い ,4 暑い
ここのレストランの料理は、<u>けっこう</u>おいしかった。,1 決構 2 決講 3 結講 4 結構,4 結構
みんなのことは<u>けっして</u>忘れません。,1 必して 2 断して 3 決して 4 確して,3 決して
新しく発売した商品が<u>つぎつぎ</u>に売れていく。,1 次々 2 欠々 3 欽々 4 欲々 ,1 次々
失って<u>はじめて</u>気づくことがある。,1 終めて 2 新めて 3 初めて 4 結めて ,3 初めて 
問題の意味が<u>まったく</u>わからなかった。,1 結く 2 全く 3 完く 4 詳く ,2 全く
あの彼が泣くのだから、<u>そうとう</u>うれしかったのだろう。,1 相答 2 想答 3 相当 4 想当 ,3 相当
<u>たとえば</u>、ラーメンやすしを食べたい。,1 伴えば 2 似えば 3 促えば 4 例えば ,4 例えば 
彼女を<u>かならず</u>幸せにすると約束した。,1 応ず 2 恥ず 3 必ず 4 心ず ,3 必ず
油が多い料理は、<u>いちどに</u>食べることができない。,1 一序に 2 一度に 3 一庫に 4 一康に,2 一度に
<u>たしか</u>ここのスーパーは毎月29日にお肉が安くなるはずだ。,1 破か 2 研か 3 確か 4 硬か,3 確か
夏休みの自由課題では、美術館へ行った____を書いて提出した。,1 相談 2 目標 3 解説 4 感想 ,4 感想 
最近帰りが遅おそい父は、なんだか疲つかれている____だ。,1 様子 2 体操 3 合図 4 調子 ,1 様子 
バナナには、さまざまな____があるため、毎日食べるといいそうだ。,1 技術 2 研究 3 栄養 4 資源 ,3 栄養
音楽が好きな父は、楽器についての____がある。,1 意識 2 知識 3 中身 4 内容,2 知識
____ばかり言ってないで、少しは頑張ってみようよ。,1 言葉 2 文句 3 秘密 4 言語 ,2 文句
今回の試合で負けたのは、集中力が切れた事が____です。,1 基本 2 原料 3 材料 4 原因 ,4 原因 
初めて海外へ行ったときから、いろんな国の文化に____を持つようになった。,1 役割 2 理由 3 興味 4 目的,3 興味 
今日は____が悪いので、また今度一緒にご飯を食べにいきましょう。,1 性格 2 姿勢 3 都合 4 印象,3 都合 
出張先でたくさんの人と____を交換しました。,1 名刺 2 看板 3 氏名 4 企業,1 名刺
わたしの働いている服屋は、4月10日から17日の____でセールを行う予定です。,1 期限 2 期間 3 延期 4 同時,2 期間
テストの点がよかったので____が上がり、母に褒ほ められた。,1 進学 2 成功 3 成績 4 進歩,3 成績 
ダンスの____を学びに、アメリカへ留学することにした。,1 正解 2 基礎 3 中心 4 見本 ,2 基礎
水と電気の使いすぎに注意し、____に優しい生活をしましょう。,1 大家 2 季節 3 環境 4 相手,3 環境
17時までに、明後日の講演会の____を作らなければなりません。,1 書類 2 辞書 3 印刷 4 記録,1 書類
祖父の子どもの____は、アイスクリームが10円で買えたそうです。,1 都会 2 世界 3 社会 4 時代,4 時代
わたしは、英語を話すことよりも読むことの方が____がある。,1 自信 2 感覚 3 効果 4 特徴,1 自信 
車に乗って、家から学校までの____を確かめる。,1 時差 2 間隔 3 成長 4 距離 ,4 距離 
わたしが住んでいるアパートの____は毎月7万円だ。,1 現金 2 家賃 3 給料 4 物価,2 家賃
今日の試合に勝って、優勝することを____しています。,1 用意 2 期待 3 予約 4 解決,2 期待 
将来は、英語を____する仕事で世界中を回りたいです。,1 共通 2 意味 3 通訳 4 伝言 ,3 通訳
彼は、テストでいい点をとったことをみんなに____している。,1 申請 2 意見 3 宣伝 4 自慢,4 自慢
最近太ってきたので、毎日____するために新しい靴を買った。,1 運動 2 実験 3 移動 4 実行,1 運動
修学旅行で、有名なパン工場を____する予定だ。,1 教育 2 見学 3 発見 4 就職 ,2 見学
田中さんの誕生日パーティーをこっそり____する。,1 世話 2 経営 3 関係 4 計画,4 計画
今回の宿題は、家で植物の成長を____して記録することだ。,1 証明 2 記念 3 観察 4 見物,3 観察
新入社員を____する会が開かれ、たくさんお酒を飲んだ。,1 維持 2 安心 3 感激 4 歓迎,4 歓迎
海の水を____したところ、昨年よりも汚よごれていました。,1 工夫 2 仮定 3 調査 4 指定 ,3 調査
いつか日本に行ったら、京都と大阪を____したいと思っています。,1 位置 2 集中 3 観光 4 入門,3 観光
働く人が足りないので、アルバイトを____することにした。,1 募集 2 交換 3 持参 4 回収 ,1 募集
昨日、娘の保育園を____しました。,1 通行 2 訪問  3 開園 4 受験,2 訪問
混雑を防ぐため、店に入れる人数を____している。,1 主張 2 命令 3 制限 4 禁止 ,3 制限
こんなに売れるなんて、____していませんでした。,1 予報 2 注意 3 約束 4 予想,4 予想
道で迷っている人を、駅まで____しました。,1 指導 2 案内 3 受付 4 紹介,2 案内
山田さんは今月で会社を辞めて、アメリカへ留学するという____だ。,1 通り 2 扱い 3 うわさ 4 うそ,3 うわさ
昨日、友人と____してしまい、気分が悪い。,1 減少 2 なっとく 3 消費 4 けんか,4 けんか
工場で____したお肉を、スーパーで売る。,1 変化 2 加工 3 調節 4 応用 ,2 加工
靴ひもをしっかり____から歩きましょう。,1 つつんで 2 組んで 3 結んで 4 たたんで ,3 結んで
友人が急に大きな声を出したので、____。,1 あこがれた 2 おどろいた 3 くたびれた 4 あきらめた ,2 おどろいた
階段から落ちて、かけていたメガネが____しまった。,1 転んで 2 戻って 3 曲がって 4 降って ,3 曲がって
海を歩いていたら、大きい貝を____けがをしました。,1 おさえて 2 ふんで 3 うって 4 ほって ,2 ふんで
最近は、朝から夜まで予定が____いて忙しい。,1 まとまって 2 たまって 3 残って 4 埋まって ,4 埋まって 
傘を二本持っていたので、友達に大きい方を____あげた。,1 掛けて 2 持って 3 貸して 4 扱って,3 貸して
先輩から夜ご飯に誘われたが、明日は早く起きなければいけないので____。,1 あやまった 2 断った 3 逆らった 4 たしかめた ,2 断った
昨日の強い台風で、大きな木が____しまった。,1 倒れて 2 降って 3 生えて 4 引いて ,1 倒れて
銀行に行って、今月の家賃と電気代を____。,1 頼む 2 払う 3 渡す 4 伝える ,2 払う
