Essence,Meaning,Usage,Sentence,Translation,Sentence.1,Translation.1,Sentence.2,Translation.2
~つつ,while・continuously ,Expresses that two actions or states are happening simultaneously or continuously.,諸事情を考慮しつつ計画を立てる。,To make a plan while considering various circumstances.,大声で叫びつつ走りだす。,To run away while screaming loudly.,アイスクリームを食べつつ、歩いた。,I walked while eating ice cream.
~ とともに,together with・at the same time・as well as,Indicate that two actions or states happen simultaneously or immediately after each other. Indicate that something changes or develops in accordance with or following something else.,気温が上がるとともに、体調が悪くなる人が増えてきた。,"As the temperature rises, more and more people are getting sick.",高校卒業とともに、引っ越しをして東京で仕事を始めた。,"Upon graduation from high school, he moved and began working in Tokyo.",世界はスマートフォンの普及とともに、大きく変化した。,The world has changed dramatically with the spread of smartphones.
~つつある,in the process of doing,Used to emphasize the continuation or the direction of the action or change. Describe a gradual change.,季節は秋に変わりつつある,The season is changing to autumn.,空は晴れあがりつつあった。,The sky was clearing up.,時代の変化に合わせて、人々の働き方は変わりつつある。,The way people work is changing with the changing times.
~ば~ほど,the more..the more・the less..the less,Express that the degree of something changes in proportion to the degree of another thing. Often used to show a causal relationship between two things.,料理は作れば作るほど上手になるものだ。,"The more you cook, the better you get at it.",マンゴーやバナナは甘ければ甘いほどいい。,"The sweeter the mango or banana, the better.",ゲームは相手が強ければ強いほど面白いです。,"The stronger the opponent is, the more interesting the game is."
~にしたがって,as・in accordance with・in proportion to,Express that something changes or happens in accordance with or in proportion to something else. used to show a causal or proportional relationship between two things.,春が近づくにしたがって、桜の花が咲き始める。,"As spring approaches, cherry blossoms begin to bloom.",寒くなるにしたがって、風邪を引く人も増えてくる。,"As the weather gets colder, more people catch colds.",会社が成長するにしたがって、社員の数も増えてきた。,"As the company grows, the number of employees also increases."
~ばかり,just getting・becoming more,"Emphasize the quantity, quality, continuation, direction or recency of something.",給料は上がらないのに、物価は高くなるばかりだ。,"Salaries are not going up, but prices are only getting higher.",かぜをひいてしまい、体調が悪くなるばかりだ。,I've caught a cold and I'm just getting sicker and sicker.,毎日の残業で疲れがたまるばかりだ。,Working overtime every day just makes me tired.
~こそ ,precisely・precisely because,Emphatic particle corresponding to precisely when used to underline and differentiate a point. ,これこそ私が欲しかった本です。,This is the very book I wanted.,この資料こそ長い間探していたものだ。,This material is what I have been looking for for a long time.,今こそ行動しなければならない。,Now is the time to act.
~でも,even・even if it is only・how about・or something,"Used to imply os show by extreme example that something is obvious. Used in proposals, expressions of intent, request, suggestions or an offer.",お茶でも飲みましょうか。,Shall we have a cup of tea?,こんなことは子供でも知っている。,Even children know these things.,外でも勉強できますよ。,You can also study outside.
~さえ,even・not even,Used with extreme examples that underline unexpected degree. ,学者でさえ解けない問題が試験に出た。,Problems that even scholars could not solve were on the exam.,中学校さえ行かなかったのです。,He did not even go to middle school.,彼は日本語 さえ 話せないのに、日本に住みたいと言っている。,"He can’t even speak Japanese, but he says he wants to live in Japan."
~も,even・not even,Used with extreme examples. Emphatic negative particle.,一日も休まないで学校に通った。,I went to school without missing a single day.,都市の農場経営は商業的にさえも実行可能です。,Urban farm management is even commercially viable.,どちらも何も残らなかった。,Neither of them were left with anything.
~など,or something like that or etc,Used to suggest something or raise alternatives. Used to introduce examples or to indicate that other similar items are not listed. ,この服などいかがですか。似合いますよ。,How about this dress? It will look good on you.,私は野菜などを買いにスーパーに行きました。,I went to the supermarket to buy vegetables and other things.,データ暗号化などのセキュリティ機能を搭載する。,Security features such as data encryption will be provided.
