W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
預ける,deposit,怪しい,suspicious,電灯,electric light,君,You.,脱ぐ,take off,局所麻酔をかける,anaesthetize (local)
場,place,歩み寄る,walk up to,どんどん,more and more,未経験,Inexperience,履く,put on,アンチョビー,anchovy
馬鹿,stupid,歩む,walk,泥棒,thief,作業,work,吐く,vomit,おこった,angry
莫大,enormous,鮮やか,vivid,動物園,zoo,引き続く,Continue,掃く,sweep,動物,animal
爆発,explosion,倍増,double,道具,tools,中学,Middle school,剥ぐ,strip,くるぶし,ankle
場面,scene,離れ,away from,枝,branch,毎週,Every week,弾く,Flick,答え,answer
ばらばら,Disperse,ばっさり,in one fell swoop,遠慮,hesitation,とも,Both,轢く,run over,返事,answer
罰する,Punish,別荘,separate house,選ぶ,choose,写真,Photo,吹く,Blow,アリ,ant
弁護士,Lawyer,美術,art,不便,inconvenience,姿,figure,拭く,Wipe,抗生物質,antibiotics
別々,Separate,敏感,Sensitive,増える,increase,なら,If,巻く,Roll,不凍液,antifreeze
美人,Beautiful women,びっしょり,drenched,深い,deep,誤り,Mistake,蒔く,sow,古代の,antique
びっくり,Surprise,美容院,beauty salon,復習,Review,遊びに行く,Going out to play,撒く,sow,古美術,antiques
微妙,subtle,募金,Fundraising,複雑,Complex,父親,Father,剥く,Peel,骨董品,antiques
瓶,bottle,牧場,ranch,踏む,Step on,影響,Influence,焼く,Bake,アパート,apartment
便,stool,膨大,huge,船,ship,人口,Population,沸く,boil,食前酒,aperitif
ぼんやり,Dimly,防犯,crime prevention,布団,Futon,とも,Both,湧く,well up,許し,apologies
募集,Seeking,防災,Disaster prevention,太る,Fat,教会,Church,押す,push,リンゴ,apple
棒,stick,部員,members,普通,Normal,辛さ,pain,貸す,Lend,リンゴジュース,apple juice
冒険,adventure,部下,subordinate,頑張る,Persist,何時,When,消す,extinguish,アップルパイ,apple pie
部分,Part,ぶかぶか,too many,原因,Cause,診る,see a doctor,越す,exceed,アップルソース,apple sauce
部品,Parts,分別,classification,下宿,Lodging,開く,Open,超す,exceed,アプリケーション,application
無事,safe,分解,Disassembly,技術,Technology,年,year,差す,exceed,約束,appointment
武器,Weapon,分割,division,ご馳走,Treats,先,future,指す,point,アンズ,apricot
物価,Prices,文系,literature,塵,Dust,報告,Report,刺す,stab,四月,april
文,sentence,文献,literature,ご覧になる,see,成功,Success,挿す,insert,建築,architecture
分,Parts,文面,Literature,ご存じ,knowing,英語,English,注す,pour,環境,area (environment)
文明,Civilization,分配,Distribution,ご主人,your husband,保証,Guarantee,射す,shoot,辺,area (location)
分類,Classification,分量,distribution,具合,condition,同じ,Same,足す,add,市外局番,area code
分析,Analysis,分担,share,軍人,soldier,非公式,Unofficial,出す,show,腕,arm
文章,Literature,物資,materials,葉,leaf,急,urgent,為す,do,約束する,arrange (set it up)
分野,Fields,着々と,Steadily,拝見,Seeing,家族,Family,干す,dry,着く,arrive
ぶらぶら,wandering,着実,steadily,歯医者,dentist,学業,Schoolwork,増す,increase,矢印,arrow
無沙汰,idleness,縮める,shrink,始める,begin,普通,Normal,蒸す,steam,芸術,art
物質,Matter,縮む,shrink,はっきり,clearly,だから,So,召す,call,動脈,artery
舞台,Stage,近々,near,運ぶ,carry,自動,Automatic,止す,stop,物,article (matter)
打つかる,striking,近づく,get closer,花見,flower viewing,大,Big,打つ,strike,人口呼吸,artificial respiration
物理,physics,蓄積,accumulate,反対,Against,事情,Circumstances,撃つ,shoot,灰皿,ashtray
秒,second,散らかす,disperse,払う,sweep away,嫌う,hate,討つ,strike,尋ねる,ask
平等,Equality,地帯,zone,発音,pronunciation,湧く,spring up,勝つ,win,問う,ask
父親,father,知的,intellectual,林,forest,上,up,立つ,stand,頼む,ask (for)
知恵,Wisdom,地点,geographical point,恥ずかしい,embarrassed,ただ,Just,経つ,rise,アスパラガス,asparagus
違い,Difference,地球温暖化,Global Warming,変,strange,事故,Accident,建つ,rise,アスピリン,aspirin
地平線,horizon,直結,Immediate,返事,reply,部屋,Room,発つ,rise,強姦,assault (sexual)
地方,Region,直後,Direct,酷い,terrible,参考,Reference,絶つ,cease,家に,at home
地位,Position,直立,upright,冷える,Chilling,建設する,Construct,打つ,strike,夜,at night
地域,Region,直前,immediately before,ひげ,Beard,けれども,But,死ぬ,die,後に,at the back
知事,Governor,長編,Rectangle,非常に,Very,実際,Actual,飛ぶ,fly,前に,at the front
地下,Underground,長方形,Rectangle,光,Light,番号,Number,跳ぶ,leap,遅くても,at the latest
近頃,recent,長期間,Long Duration,光る,Glow,うち,of,呼ぶ,Call,キャッシュカード,atm card
近道,Shortcut,彫刻,Sculpture,引き出し,Drawer,気,feeling,編む,weave,八月,august
力強い,powerful,彫刻家,Sculptor,引き出す,Pull out,新聞,Newspaper,産む,Give birth,自動的,automatic
遅刻,Late,長距離,Long Distance,引っ越す,Move,感じる,Feelings,噛む,chew,秋,autumn
地区,District,調味料,Seasoning,飛行場,Airfield,記録,Record,組む,knit,雪崩,avalanche
地球,Earth,調理,Cooking,開く,open,年,Year,汲む,draw,起きた,awake
知能,Intelligence,調整,Adjustment,昼間,Daytime,のに,in,酌む,pour,日よけ,awning (sunshade)
知識,Knowledge,調節,Adjustment,拾う,pick up,空気,Air,込む,put into,赤ちゃん,baby
貯金,Savings,聴衆,Audience,昼休み,Lunch break,年間,Year,混む,mix,ベビーシッター,baby sitter
直接,Direct,注意点,Attention,久しぶり,Long time no see,弟,brother,住む,live,背中,back (body)
著者,Author,抽象,Abstract,褒める,praise,回,times,済む,finish,リュックサック,backpack
頂上,Summit,中断,Interruption,翻訳,Translation,ふたり,Two,澄む,clear,ベーコン,bacon
長期,Long term,注意深い,Attentive,星,Star,時,time,積む,pile up,悪い,bad
調査,Survey,忠実,Faithful,ほとんど,Almost,恐ろしい,Horrible,富む,abound,ひどい,bad (terrible)
調子,Tone,中旬,Middle,法律,Law,黒い,black,飲む,drink,大変,bad (terrible)
長所,Pros,中華,Chinese,一度,Once,早い,too early,踏む,step on,カバン,bag
朝食,Breakfast,中継,relay,医学,Medicine,しまった,Already,揉む,rub,手荷物受取所,baggage claim
中学,Middle school,駐輪所,Bicycle parking lot,苛める,Torment,もう,Already.,止む,Stop,手荷物引換券,baggage claim check
中間,Middle,抽選,Lottery,以上,More than,話,Talk.,病む,be ill,パン屋,baker
中古,Used,大学院,Graduate School,以下,Less than,無口,Not talking,有る,be,バルコニー,balcony
注目,Featured,大学祭,University Festival,意見,Opinion,よく,"Oh, my God.",在る,be,ボール,ball
注文,Order,台無し,no stand,生きる,Live,どうやら,What do you think?,居る,Be,球,ball
駐車,Parking,題名,title,以内,Within,低い,low,要る,need,バレー,ballet
中止,Abort,段取り,arrangement,田舎,Country,より,than,煎る,boil,ボールペン,ballpoint pen
中心,Center,段階,stage,祈る,Pray,そう,So.,炒る,roast,バナナ,banana
中心地,Central Location,団結,Unity,一杯,a cup,少し,A little,入る,enter,包帯,bandage
昼食,Lunch,だらし無い,Sloppy,石,stone,ほど,about,売る,sell,バンソウコウ,bandaids
中央,Central,脱出,Escape,一生懸命,hard,待つ,Wait,得る,get,銀行,bank
代,Substitute,妥当,reasonable,急ぐ,Hurry,方,How to,得る,get,前髪,bangs
大部分,Majority,出来上がる,ready,糸,thread,庭,Garden,折る,fold,岸,bank (river)
代表,Representative,電源,power supply,邪魔,hindrance,管理,Management,居る,Be,バー,bar (cafe)
代表者,Representative,電気屋,electrician,字,character,無許可,without permission,織る,weave,バーベキュー,barbecue
大臣,Minister,電波,Electric wave,時代,Age,漢字,Chinese characters,刈る,reap,バスケットボール,basketball
代金,Representative,伝染,contagion,事故,accident,特徴,Feature,来る,come,風呂,bath
代理,Delegate,伝達,Transmission,事務所,Office,だって,Because,蹴る,kick,バスタオル,bath towel
大成功,Great success,でたらめに,Bullshit,神社,Shrine,行動,Action,去る,leave,海水帽,bathing suit
大小,big and small,土台,foundation,人口,Population,住宅,Housing,為る,Do,風呂場,bathroom
大都会,Big city,独占,Exclusive,地震,Earthquake,歌う,Singing,為す,do,バスルーム,bathroom
大統領,President,読者,Reader,辞典,Dictionary,二人,Two people,剃る,shave,バッテリー,battery
黙る,Silence,独身者,Bachelors,自由,Freedom,気にかかる,Concerned,剃る,shave,電池,battery
段,Dan,道中,on the road,女性,Women,答える,Answer,散る,scatter,ビーチ,beach
だんだん:,Gradually,動機,Motivation,準備,Preparation,派,group,釣る,fish,浜,beach
男女,men and women,同居,Living together,十分,Enough,それに,Besides,吊る,hang,豆,beans
男子,men,同年代,Same age,住所,Address,支払,Payment,照る,shine,華美な,beautiful
団体,group,導入,Introduction,壁,Wall,能力,Ability,取る,take,すばらしい,beautiful (splendid)
だるい,sluggish,動作,behavior,課長,Chief,映画,Movie,撮る,take,美しい,beautiful
出会い,meet,同等,Equality,帰り,Return,鳴く,sound,採る,pick,きれいな,beautiful (pretty)
出会う,Encounter,絵本,Picture book,変える,change,知る,Know,捕る,catch,美容院,beauty parlor
出来事,Event,影響力,Influence,科学,science,だめ,No,鳴る,sound,ベッド,bed
電池,battery,映像,Picture,鏡,mirror,言葉,Words,為る,be,寝台,bed (bunk)
伝言,message,駅前,in front of station,海岸,coast,記録する,Record,成る,be,ミツバチ,bee (honeybee)
電球,Light bulb,延長,Extension,会議,Conference,何か,Something,生る,be like,牛肉,beef
電子,electronic,円形,Round,会議室,Conference Room,歩く,Walk,似る,resemble,ビール,beer
電子レンジ,Microwave Oven,演じる,Perform,会場,Venue,増す,Increase,煮る,boil,始まる,begin
伝統,Tradition,円満,round,会話,Conversation,失敗,Failure,塗る,paint,初心者,beginner
度,degree,襟,Collar,火事,fire,相談,Consult,寝る,sleep,後,behind
どきどき,Throbbing,不安定,Unstable,掛ける,multiply,自分で,By myself,練る,knead,ベルト,belt
毒,Poison,不調,unsteady,格好,posture,可能,Possible,乗る,get on,元気になる,better (to get)
独立,Independence,不動産,real estate,構う,look,戻る,Return,載る,put on,快復する,better (to get)
独身,Singleness,不動産屋,real estate agent,髪,hair,作る,Make,貼る,put up,重炭酸ソーダ,"bicarb, baking soda"
読書,Reading,不十分,Inadequate,噛む,Bite,大きな,Big,張る,put up,自転車,bicycle
独特,Unique,不快,Unpleasant,家内,home,方,direction,降る,fall,空気入れ,bicycle pump 
泥,Mud,不可欠,Imperative,必ず,Always,話す,Speak,振る,shake,自転車屋,bicycle repairman
努力,Effort,深まる,deepen,悲しい,Sad.,音楽,Music,減る,decrease,ビキニ,bikini
同一,Identical,深める,deepen,金持ち,Rich,方法,Method,経る,elapse,勘定,bill
当時,At the time,不完全,Incomplete,考える,Think,仕方,How,掘る,dig,玉突きをする,billiards
同時,Simultaneous,不機嫌,Unhappy,関係,Relationship,かもしれない,May be,彫る,carve,誕生日,birthday
銅貨,copper coin,付近,Proximity,彼女,Her,人気,Popularity,観る,watch,ビスケット,biscuit
どうか:,same,不規則,Irregular,簡単,Easy,無論,Of course,見る,see,かむ,bite
同級生,same class,副,Vice,顔,Face,ばかり,only,診る,examine,苦い,bitter
道路,Road,含める,include,彼,Him,病院,Hospital,盛る,serve,黒い,black
同僚,colleague,膨らます,inflate,彼ら,They,教育,Education,漏る,leak,味のない,bland (taste)
動詞,Verb,膨らむ,swell,形,Shape,効果,Effectiveness,寄る,come from,毛布,blanket
どうしても,By all means,福祉,welfare,硬い,Hard,みんな,Everyone,因る,cause,キャベツ,cabbage
道徳,moral,複数,Multiple,片付ける,put away,可能,Possible,遣る,do,船室,cabin
同様,Similarly,普及,spread,勝つ,win,疑惑,Suspicion,割る,break,ケーキ,cake
柄,pattern,不明,unclear,乾く,Dry,笑う,Laugh,覆う,cover,ケーキ屋,cake shop
描く,draw,不明瞭,unclear,代わり,Replace,法律,Law,匂う,smell,お菓子屋,cake shop
笑顔,smile,ふもと,underneath,変わる,change,帽子,Hat,誓う,swear,呼び出し,call
永遠,Eternity,ふらふら,wandering,通う,pass,マイル,Miles,使う,use,電話をする,call (phone)
営業,Sales,触れ合い,touching each other,飾る,Decorate,件,matter,違う,differ,と言う,called (name)
影響,Impact,触れ合う,touch each other,毛,hair,無表情,Expressionless,願う,wish,と言います,called (name)
永久,Eternity,振り込み,turning around,怪我,hurt,死ぬ,Dying,救う,save,カメラ,camera
衛星,Satellite,振り向く,turn around,計画,Plan,大根,Radish,掬う,scoop up,手ぶれ補正機能,image stabilization
栄養,Nutrition,不良品,defective,経験,Experience,一緒,Together,襲う,assault,キャンプする,camp (camping)
円,Yen,塞ぐ,block,警察,Police,不潔,Filthy,誘う,Invite,キャンプ場売店,camping shop
演技,Acting,不採用,reject,経済,Economy,使う,Use,歌う,sing,キャンプ場,camp site
援助,Assistance,負担,burden,見物,spectacle,だろうか,I wonder,慕う,adore,キャンピングカー,camper
延期,Postponement,風,Wind,喧嘩,Fights,意味,Meaning,雇う,hire,キャンプファイヤー,campfire
遠足,Field trip,不愉快,Unpleasantness,研究,Research,友,friend,叶う,fulfill,キャンプ案内,camping guide
演奏,Performance,街,City,研究室,Laboratory,椅子,Chair,担う,bear,キャンプ場使用許可書,camping permit
演説,speech,外観,Appearance,消しゴム,Eraser,嫌,Dislike,奪う,take,取り消す,cancel (withdraw)
得る,get,外見,Appearance,景色,view,ならば,If so,構う,care for,ローソク,candle
餌,feed,概要,Overview,気,chi,母親,mother,給う,give,お菓子,candy (sweets)
不安,Anxiety,学費,School Fees,厳しい,Severe,けれど,but,思う,think,おやつ,candy (snacks)
縁,relationship,学業,Schoolwork,気分,Mood,大切,important,通う,pass,カヌー,canoe
普段,usual,学年,Academic Year,機会,Opportunity,外,Outside,洗う,wash,車,car
筆,brush,学歴,Academic Background,危険,Danger,伝わる,handed down,嫌う,dislike,自動車,car (automobile)
笛,flute,学生課,Student Affairs,聞こえる,sound,仕事,Work,拐う,kidnap,自動車用の甲板,car deck
不平,unhappiness,願望,Aspiration,決る,decide,面白い,Interesting,習う,learn,車の証明書,car documents
夫人,husband and wife,頑丈,Sturdy,決める,decide,今月,This month,倣う,Follow,ベビーシート,car seat (child’s)
婦人,woman,頑固,Stubbornness,君,you,始め,Beginning,狙う,aim at,車の故障,car trouble
不自由,lack of freedom,がらがら,tough,気持ち,feeling,持つ,Have,払う,pay,キャラバン,caravan
不可,impossible,がっしり,tough,近所,neighborhood,気に入る,like,貰う,get,乳製品,dairy products
不可能,Impossible,合宿,camp,季節,season,十分,Enough,笑う,laugh,損害,"damage (injury, loss)"
不幸,Misfortune,画用紙,drawing paper,汽車,train,ましょうか,Shall we?,狂う,go crazy,踊る,dance
含む,Contains,芸能,performing arts,規則,Rules,声,voice,揃う,get together,ふけ,dandruff
袋,Bag,劇的,dramatic,きっと:,Must be:,ところ,where,拾う,pick up,危険,danger
服装,Clothing,現代人,modern people,心,Mind,裏返す,Turn over,祝う,celebrate,危険な,dangerous
不満,dissatisfaction,現時点,present time,国内,Domestic,もう,already,扇ぐ,fan,暗い,dark
雰囲気,Atmosphere,原稿,manuscript,国際,International,席,My seat.,仰ぐ,look up,デート,date
ふらふら,Wobbly,原理,Principle,細かい,detail,なんて,"Oh, my God.",描く,draw,娘さん,daughter (other’s)
触れる,Touch,原料,raw material,米,America,とか,What?,磨く,polish,娘,daughter (own)
不利,Disadvantage,原作,Original,込む,into,口,Mouth,嘆く,Lament,日,day
振る,Shake,原産,Origin,今度,next,種類,Kind of,動く,Move,まる一日,day (the whole)
震える,tremble,厳守,strict adherence,この間,During this time,気が重い,I feel so bad,塞ぐ,block,一昨日,day before yesterday
防ぐ,prevent,原則,Principle,この頃,Around this time,だと,If so,築く,build,日帰り温泉,day-trip hot spring
不正,Injustice,減速,Deceleration,今夜,Tonight,所,Where,濯ぐ,rinse,亡くなった,dead
節,knot,幻想,Illusion,これから,From now on,用意,Prepare,弾く,play,デッドゾーン,dead zone
不思議,wonder,限定,Limitations,故障,Failure,同意する,Agree,稼ぐ,earn,カフェインなし,decaffeinated
不足,lack,現在地,Current location,答え,Answer,変える,change,防ぐ,prevent,カフェインフリー,decaffeinated
双子,twins,議題,Agenda,事,things,込む,include,急ぐ,Hurry,十二月,december
沸騰,boil,疑問点,Questions,小鳥,Little bird,日,day,注ぐ,Pour,申告する,declare (customs)
夫婦,husband and wife,銀行員,Banker,校長,principal,集める,Gather,除く,remove,深い,deep
風景,Landscape,ぎりぎり,just in time,講堂,lecture hall,動物,animals,覗く,look into,スキンダイビング,deep sea diving
不要,Unnecessary,儀式,ritual,郊外,suburb,追い込む,drive,叩く,strike,冷凍庫,deep freeze
不用,Unnecessary,ぎっしり,tightly packed,講義,Lecture,確認,confirm,砕く,crush,度,degrees
不用品,Unwanted,ぎざぎざ,jagged,工業,Industry,済ます,finish,跨ぐ,straddle,停滞,"delay (stagnation, congestion, standstill)"
害,Harm,ごちゃごちゃ,jumbled,工場,Factory,音,sound,突く,poke,遅延,delay (latency)
外国語,Foreign,強引,forceful,高校,High School,語,word,懐く,nurse,おいしい,delicious
外国産,foreign products,ぐったり,limp,高校生,High school student,注目,attention,続く,follow,歯医者,dentist
外交,foreign trade,後日,later,公務員,Civil servant,壊す,break,担ぐ,carry,入れ歯,dentures
外食,foreign food,娯楽,entertainment,交通,Transportation,確認,confirm,届く,reach,デオドラント,deodorant
外出,going out,合同,united,壊れる,break,溜める,accumulate,解く,untie,部,department
画家,painter,愚痴,complaining,壊す,break,打つ,strike,繋ぐ,connect,デパート,department store
がっかり,in a hurry,ぐんぐん,group of people,首,neck,なぜなら,because,招く,invite,出発,departure
学期,school term,行事,event,雲,cloud,振る,swing,凌ぐ,surpass,出発時間,departure time
楽器,musical instruments,行列,Procession,比べる,compare,場合,case,裁く,judge,手付け金,deposit (earnest payment)
学,Study,幅広い,broad,暮れる,dusk,海外,abroad,響く,Resound,頭金,deposit (downpayment)
学部,Undergraduate,蜂,bees,草,grass,それで,So,省く,save,保管,deposit (for safekeeping)
学問,Study,蜂蜜,Honey,空気,air,食品,Food,背く,Disobey,預金,deposit (bank account)
学者,Learner,鉢植え,Potted plant,空港,airport,条件,Conditions,泳ぐ,swim,預金保険,deposit insurance
学習,Learning,破片,Fragments,怖い,scary,教え込む,Teach,乾く,dry,預金利率,deposit interest rate
画面,Screen,背景,Background,客,Guest,ちょっと,A little,渇く,thirst,デザート,dessert
柄,Pattern,廃止,Obsolete,教育,Education,続ける,Continue,騒ぐ,make noise,行き先,destination
芸術,Art,墓参り,visit to a grave,教会,Church,休み,Rest,開く,open,終点,"destination (terminal, last stop)"
外科,Surgery,発揮,Emit,興味,Interest,比較する,Compare,歩く,walk,現像する,develop (photo)
劇,Theater,泊,Overnight,競争,Competition,売り込む,Sell,返す,return,開発者,developer
劇場,Theater,白衣,White coat,急,express,到着する,Arrive,帰す,return,糖尿病患者,diabetic
現場,Field,鼻水,snot,急行,Hurry,こと,Things,倒す,knock down,ダイヤル,dial
現代,Contemporary,話し合い,discussion,間違える,make a mistake,我,me,通す,Let through,ダイヤモンド,diamond
言語,Language,話し声,Talking voice,参る,Serious,捉える,capture,直す,Fix,おしめ,diaper
現実,Reality,話し手,Speaker,真面目,Serious,少し,a little,治す,Cure,下痢,diarrhea
現状,Present Situation,販売者,Seller,負ける,Lose,参加,Participation,犯す,Violate,辞典,dictionary
限界,Limitations,反映,Reflection,漫画,manga,授業,Lesson,侵す,Invade,ディーゼル,diesel
現金,Cash,半額,Half price,間に合う,Right on time,本人,The person,任す,Entrust,ダイエット,diet
現象,Phenomenon,半減,Half reduction,真中,in the middle,男子,Boys,汚す,Defile,困難,"difficulty (distress, trouble, hardship)"
減少,Decrease,恥,Shame,または,or,下りる,Going down,探す,Search,耳,ear
現在,Present,反感,Antipathy,周り,around,未成年,Minors,捜す,Search,耳鼻咽喉科,"ear, nose and throat specialist"
議長,Chairperson,半日,Half day,回る,Around,日本,Japan,流す,Cast off,耳痛,earache
議員,Councilor,反発,repulsion,まず,First,文字,character,逃す,Escape,イヤホン,earbud
議会,Congress,張り切る,Tension,召し上がる,eat,様,Like,隠す,Hide,耳薬,eardrops
疑問,Question,反論,Rebuttal,珍しい,Unusual,多い,many,訳す,Translate,早い,early
義務,Duty,半数,half a number,見える,see,辛い,Spicy,略す,abbreviate,イヤリング,earrings
銀,Silver,腹を立てる,to be angry,港,port,白い,white,起す,cause,土地,earth (plot of land)
議論,Discussion,張り紙,put up a sign,見つかる,find,折る,fold,残す,Leave behind,陶器,"earthenware (porcelain, pottery, ceramics)"
技師,engineer,挟む,interrupt,見つける,find,以前,before,汚す,Defile,瀬戸物,"earthenware (porcelain, pottery)"
語,language,発散,divergence,湖,Lake,殺す,kill,崩す,Destroy,土器,earthenware (unglazed)
語学,language,発想,idea,もちろん,of course,さて,Now,外す,Remove,東,east
豪華,luxury,発送,sending out,戻る,Back to,全て,All,浸す,Soak,簡単な,easy (simple)
誤解,misunderstanding,働き手,worker,森,Forest,注目,Attention.,渡す,Pass,容易な,"easy (simple, plain)"
極,polar,果たす,fulfill,もし,If,申し出,Offer,乱す,disrupt,易しい,"easy (simple, plain)"
塵,dust,発言,utterance,申し上げる,I say,問う,Ask,写す,copy,便利な,easy (to use)
合格,Pass,早口,speak quickly,申す,I do,宿泊,Lodging,移す,transfer,食べる,eat
合計,Total,早まる,speed up,もうすぐ,coming soon,必要である,Necessary,映す,reflect,電子書籍,e-book
強盗,Robbery,流行り,trend,迎える,Coming soon,無難,safe,落す,drop,湿疹,eczema (rash)
軍,Army,隔てる,divide,向かう,I'm on my way.,無遠慮,No reservations,脅す,threaten,ウナギ,eel
軍隊,Army,平凡,ordinary,昔,In the past,大会,Convention,戻す,bring back,卵,egg
ぐっすり,Sleeping,平気,plain,無理,impossible,綿,cotton,貶す,make fun of,ナス,eggplant
具体,Concrete,弊社,Our company,虫,insect,だから,So,話す,Speak,電気,electricity
偶然,Coincidence,閉店,Closed,息子,son,持つ,have,離す,Let go,電動自転車,electric bicycle
逆,reverse,変換,Transformation,娘,daughter,始める,Start,放す,Let go,電気自動車,electric car
行儀,behavior,変形,Transformation,投げる,Throw,食事,Meal,潰す,destroy,電気屋,electronics shop
幅,width,返金,Refund,中々,Not quite,見つかる,Find,零す,spill,エレベーター,elevator
省く,save,返品,Returned goods,泣く,cry,どこ,Where,騙す,deceive,大使館,embassy
肌,skin,返信,Reply,無くなる,Disappears,有る,There is,示す,show,緊急ブレーキ,emergency brake
裸,Naked,偏食,eclipse,亡くなる,die,台風,Typhoon,試す,test,非常口,emergency exit
派手,gaudy,編集,Edit,治る,Get well,一人,Alone,記す,write,非常電話,emergency phone
生える,Growing,返送,Returned,直る,Get well,慣れる,Get used to it,吊す,Hang,つめやすり,emery board (nail file)
激しい,Intense,返答,Reply,直す,Get well,投票,Voting,許す,Allow,天皇,emperor
母親,Mother,非,Non,慣れる,get used to,どうせ,I'll get used to it.,下す,lower,からの,empty
灰,Ashes,日当たり,per day,鳴る,sound,着る,Wear,卸す,unload,話し中,engaged (on the phone)
掃く,sweeping,非凡,extraordinary,なるほど,I see,重い,Heavy,殺す,kill,婚約した,engaged (to be married)
歯磨き,Toothpaste,日々,Daily,寝坊,Sleepyhead,当て込む,apply to,壊す,Break,イギリス,england
配送,Delivery,必着,must arrive,値段,Price,選択する,Choose,回す,Rotate,英語,english (language)
配達,Delivery,日帰り,by day,眠い,Sleepy,喉が渇く,I'm thirsty,育つ,Raise,楽しむ,enjoy
俳優,Actor,日頃,daily,眠る,Sleepy,動く,Move,保つ,keep,封筒,envelope
始まり,Beginning,引き込む,pull in,熱心,Enthusiasm,耳,Ear,浮ぶ,Float,電子書籍リーダー,e-reader
